ISLAND CITY MALL,,,,,
POS UNPOSTED SALES,,,,,
"AS OF JUNE 21, 2022",,,,,
Item No.,Variant Code,Description,Quantity,Unit Cost,Amount
103940,,BAR PESTO GENVSE 190G,3,202.67857,608.04
103943,,BIRCH TREE F CHCO 145G,172,30.61607,"5,265.96"
103962,,DV B SOAP WHT 100G,163,31.29315,"5,100.78"
103969,,CUP TP GRN MNTHL 25ML,23,14.29742,328.84
103971,,CUP TP GRN MNTHL 95ML,18,41.55924,748.07
103973,,CLOSE UP RED HOT 25ML,11,14.2748,157.02
103974,,CLOSE UP RED HOT 50ML,41,25.60714,"1,049.89"
103976,,CLOSE UP RED HOT 145ML,11,61.15568,672.71
103977,,DEAR BS R FANTASY 30ML,1,115.17857,115.18
104009,,PIATTOS CHEESE 170G,108,44.28571,"4,782.86"
104013,,RAM BNNA KETCHUP 200G,48,9.0625,435
104034,,SUPER C SWT CORN 12s,467,8.6742,"4,050.85"
104035,,B CHILI BBQ CC 12/7G,839,8.72195,"7,317.72"
104037,,SUPER CRNCH BBQ 12/7G,586,8.67536,"5,083.76"
104038,,SWEET CHILLI BBQ 12/7G,946,8.67561,"8,207.13"
104071,,WK CRMY CLSC HCM 200G,6,18.27777,109.67
104073,,NES DS COTN C 100ML,6,18.66964,112.02
104075,,BB TUNA MECH 155G,29,14.00544,406.16
104095,,NES DS BGUM 100ML,5,18.66964,93.35
104103,,HOMI NDL CHKN GRLC 55G,862,4.15171,"3,578.77"
104117,,EMI STANDARD MATCH,591,9.47917,"5,602.19"
104118,,FUEGO MATCHES,850,9.47917,"8,057.29"
104119,,ROYAL RED HEAD,39,15.27089,595.56
104126,,HY LYCHEE CONJAC J160G,31,15.56556,482.53
104199,,REYNOLDS ALUM REF 16M,2,101.56187,203.12
104201,,REYNOLDS AL STD 8M,5,51.90333,259.52
104202,,REYNOLDS ALUM REF 8M,2,56.19934,112.4
104216,,SOF V BT 150sht 2P 12r,1,82.7054,82.71
104232,,SOFTEE GEM TN FLAT 400s,3,22.90507,68.72
104233,,S GEM TN FLAT 1600s,6,84.39065,506.34
104236,,SOFTEE GEM TN PCF 350s,9,23.91986,215.28
104238,,GEM TN D CHKRD F 40s,27,16.65482,449.68
104239,,GEM TN DECO FLD FP 40s,33,17.26632,569.79
104240,,GEM TN DECO FLD FP 80s,12,37.13625,445.64
104242,,EXPRESS TN FLAT 2000SHT,11,61.95679,681.52
104243,,EXPRESS PC TN 1000s,3,46.02108,138.06
104260,,L PPAYA MINI SOAP 30G,75,17.69333,"1,327.00"
104265,,MY SHAL R ORANGE 60,2,50.21938,100.44
104268,,MS NEO ORGE 80G,5,55.70549,278.53
104272,,ST DEW C ASSTD 8oz,1,4.89987,4.9
104273,,ST S ICE COOLER 180ML,136,3.92803,534.21
104279,,ST FRUIT JELLY ASSTD 4/75G,120,4.82139,578.57
104285,,ST C DRINK ASSTD 180ML,141,4.15695,586.13
104286,,8016 BABY BOT 125ML,1,55.35714,55.36
104290,,TOBEE JELLY 8/14G,4,5.21506,20.86
104294,,ST CHILLY BANGBANG 100ML,20,3.35872,67.17
104295,,ST ROCKY SNOW POPS 70ML,470,1.62546,763.97
104296,,ST FROSSEN PINDE 75ML,"1,090",1.38287,"1,507.33"
104308,,P PASTE WAX RED 90G,24,10.34482,248.28
104313,,PERVIL MAGIC CRM 8ML,1,34.82143,34.82
104321,,CHUCKIE OG BS 6/110ML,99,60.08036,"5,947.96"
104325,,PLEDGE LW NAT P 250ML,1,46.02098,46.02
104326,,PLEDGE LW RED P 250ML,2,44.10618,88.21
104328,,PRONTO LW NAT 500ML,1,102.7419,102.74
104340,,GLADE TF F LEM REF 12ML,1,60.2128,60.21
104351,,PLEDGE LEMON 180ML,4,82.57937,330.32
104358,,GLADE AFF LEMON 320ML,11,93.46429,"1,028.11"
104363,,GLADE CG LEMON REF 60G,1,50.04104,50.04
104364,,GLADE CG OR SQZ REF 60G,6,51.44083,308.64
104365,,GLADE CG F LIME RF 60G,4,51.40119,205.6
