ALTURAS MAIN,,,,,,,
INVENTORY VALUATION REPORT,,,,,,,
"AS OF DECEMBER 31, 2021",,,,,,,
ITEM CODE,VARIANT CODE,DESCRIPTION,UOM, QUANTITY , COST W/O VAT , TOTAL COST ,
100599,,AJI SHIO PEPPER PLUS 18G,PCS,928,3.68304,"3,417.86",
100600,,AJINOMOTO GINISA ORIGINAL FLAVOR MIX 7G,PCS,"-1,412.00",1.42857,"-2,017.14",
100601,,ALEXAN TWISSORS NO 180,PCS,9,4.464,40.176,
100602,,ROYAL CHOICE JOLLY OLE CHF AP FLOUR 48x200G,BOX,202,16.00112,"3,232.23",
100603,,ROGERS MAYONNAISE 24/225ML,BOT,148,51.11607,"7,565.18",
100604,,ROGERS SALAD DRESSING 24/225ML,JAR,250,32.36607,"8,091.52",
100605,,ROYAL CHOICE JOLLY OLE CORNSTARCH 72x75G,BOX,95,6.86607,652.27665,
100606,,ROYAL CHOICE JOLLY OLE CORNSTARCH 48/200G,BOX,115,12.92746,"1,486.66",
100607,,ROYAL CHOICE/ALLATIN IODIZED SALT 50x500G,PACK,1,9,9,
100608,,ALLATIN IODIZED SALT 60/250G,PACK,120,4.69182,563.0184,
100609,,ROYAL CHOICE/ALLATIN IODZ ROCK SALT 50x500G,PACK,1,6.46911,6.46911,
100617,,BAMBI COOKING OIL PREMIUM 10/1/2 GAL,½GAL,83,236.04286,"19,591.56",
100618,,BAMBI COOKING OIL PREMIUM 6/1GAL,GAL,38,453.76786,"17,243.18",
100619,,BAMBI COOKING OIL 48/350ML,BOT,203,50.73679,"10,299.57",
100621,,ACLEM NEWS COLORED SHORT,REAM,-1,57.8125,-57.8125,
100624,,ANCHOR BUTTER SALTED 20x2/227G Sv50,PACK,30,2.56696,77.0088,
100625,,ANCHOR BUTTER UNSALTED 20x2/227G Sv50,PACK,8,3.37054,26.96432,
100627,,HANSEL PREMIUM OSAKA STYL PINK VAN 40x124.8G,BOX,27,35.66473,962.94771,
100634,,JAPANESE PAPER ORANGE 480s,PCS,-5,1.25,-6.25,
100648,,ALASKA CHOCOLATE UHT 185ML,BOX,258,14.31002,"3,691.99",
100649,,ALASKA SWEETENED CONDENSED FILLED MILK 168ML,CAN,332,30.97954,"10,285.21",
100650,,ALASKA SWEETENED CONDENSED FILLED MILK 300ML,CAN,574,43.82552,"25,155.85",
100651,,ALASKA CONDENSADA 48/300ML,CAN,"2,247.00",33.24107,"74,692.68",
100652,,ALASKA EVAPORATED FILLED MILK 48/370ML,CAN,735,31.73214,"23,323.12",
100653,,ALASKA POWDER FILLED MILK 144/80G,PACK,89,24.02679,"2,138.38",
100655,,JUJU FFC BARBIE HAIR DRYER WTR SQURTR 144x15G,PCS,-2,104.65179,-209.30358,
100657,,ALASKA LOW FAT MILK 12/1L,BOX,100,63.70536,"6,370.54",
100658,,LIGO MACKEREL NATURAL OIL 100/155G,CAN,-1,21.38393,-21.38393,
100660,,LIGO PREM SARD TS WITH CHILI 100/155G,CAN,225,19.125,"4,303.13",
100661,,LIGO SARDINES AFRITADA 48/155G,CAN,2,17.39,34.78,
100663,,LIGO SARDINES CALDERETA 48/155G,CAN,-3,17.11607,-51.34821,
100664,,LIGO MACKEREL TOMATO SAUCE CHILI 100/155G,CAN,-6,15.63,-93.78,
100667,,LIGO SARDINES TOMATO SAUCE GREEN 48/425G,CAN,181,36.83929,"6,667.91",
100668,,LIGO SARDINES RED CHILI 48/425G,CAN,227,37.00893,"8,401.03",
100672,,LIGO SARDINES GATA STYLE 48/155G,CAN,12,25.70313,308.43756,
100673,,LIGO SQUID IN NATURAL INK 48/425G,CAN,285,58.26042,"16,604.22",
100675,,LIGO SQUID IN NATURAL INK 100/155G,CAN,4,26.32,105.28,
100701,,BAKERS BEST OTAP 64/150G,PACK,30,18.66071,559.8213,
100702,,BAKERS BEST OTAP 37/260G,PACK,87,32.41071,"2,819.73",
100703,,BAKERS BEST OTAP 28/330G,PACK,4,41.64286,166.57144,
100707,,GOLDEN OATS QUICK COOKING 48/200G,PACK,16,20.94866,335.17856,
100708,,GOLDEN OATS QUICK 24x400G,PACK,1,36.17188,36.17188,
100709,,GOLDEN OATS QUICK 12x800G,PACK,-1,66.01563,-66.01563,
100710,,GOLDEN OATS INSTANT 48/200G,PACK,9,22.85714,205.71426,
100711,,GOLDEN OATS INSTANT 24x400G,PACK,-4,38.68304,-154.73216,
100712,,GOLDEN OATS INSTANT 12x800G,PACK,-3,69.83259,-209.49777,
100713,,GOLDEN OATS PLUS CHOCOLATE 48/200G,PACK,60,28.68304,"1,720.98",
100714,,GOLDEN OATS PLUS VIT E OMEGA 3 N 6 48/200G,PACK,133,28.68304,"3,814.84",
100715,,GOLDEN OATS PLUS VIT E OMEGA 3 N 6 24/400G,PACK,1,52.00893,52.00893,
100723,,SIMPLY SOYA OIL 12/1L,BOT,17,114.67857,"1,949.54",
100724,,RED STAR YEAST 12/800G,PACK,573,142.1131,"81,430.81",
100726,,BESUTO PRAWN CRACKER NO 3000 100/100G,PACK,-1,14.3058,-14.3058,
100728,,BESUTO PRAWN CRACKER No 3000 40/500G,PACK,2,60.15179,120.30358,
100729,,BESUTO PRAWN CRACKER No 4000  100/100G,PACK,-1,14.3058,-14.3058,
100733,,BESUTO PRAWN CRACKER HOT SPICY 40/500G,PACK,1,60.15067,60.15067,
100736,,BESUTO PRAWN CRACKER ONION GARLIC 60/250G,PACK,1,31.97173,31.97173,
100737,,BESUTO PRAWN CRACKER ONION GARLIC 40/500G,PACK,-1,60.15179,-60.15179,
100738,,BESUTO PRAWN CRACKER GARLIC SOY 100/100G,PACK,-1,14.3058,-14.3058,
100739,,BESUTO PRAWN CRACKER GARLIC SOY 60/250G,PACK,2,31.97173,63.94346,
100741,,BESUTO PRAWN CRACKER CRAB 100/100G,PACK,-3,14.3058,-42.9174,
100743,,BESUTO PRAWN CRACKER CRAB 40/500G,PACK,1,60.15067,60.15067,
100744,,BESUTO ROASTED MEAT BBQ 100/100G,PACK,-4,14.3058,-57.2232,
100747,,BESUTO PRAWN CRACKER FISH CURRY 100/100G,PACK,-2,14.3058,-28.6116,
100749,,BESUTO PRAWN CRACKER PORK 100/100G,PACK,-1,14.3058,-14.3058,
100750,,BESUTO PRAWN CRACKER PORK 60/250G,PACK,1,31.97173,31.97173,
100751,,BESUTO PRAWN CRACKER CHICKEN 100/100G,PACK,1,14.3058,14.3058,
100754,,BESUTO PRAWN CRACKER BACON 60/250G,PACK,1,31.97173,31.97173,
100755,,BESUTO PRAWN CRACKER BACON 40/500G,PACK,-1,60.15067,-60.15067,
100756,,BESUTO PRAWN CRACKER SQUID 100/100G,PACK,-2,14.3058,-28.6116,
100757,,BESUTO PRAWN CRACKERS SQUID 40/500G,PACK,2,60.15179,120.30358,
100758,,LION TIGER REGULAR MINI 60BOX,BOX,-31,12.91667,-400.41677,
100759,,LION TIGER JUNIOR SIZE 72BOX,BOX,-39,11.85392,-462.30288,
100760,,LION TIGER REGULAR BOX,BOX,41,13.09028,536.70148,
