PLAZA MARCELA -SM,,,,,,
INVENTORY VALUATION REPORT,,,,,,
"AS OF NOVEMBER 5, 2021",,,,,,
INCODE,VARIANT,DESC,UNIT,QUANTITY,COST W/O VAT,AMOUNT W/O VAT
100464,,DOLE PINEAPPLE SLICED FLAT 24/227G,CAN,237,19.77121,"4,685.78"
100465,,DOLE PINEAPPLE SLICED 24/432G,CAN,64,34.8843,"2,232.60"
100466,,DOLE PINEAPPLE SLICED 24x822G,CAN,210,57.66332,"12,109.30"
100467,,DOLE PINEAPPLE SLICED 6/3.06KG No 10,CAN,6,188.90167,"1,133.41"
100471,,DOLE PINEAPPLE CHUNKS FLAT 24x227G,CAN,2,18.0625,36.125
100472,,DOLE PINEAPPLE CHUNKS 24x560G,CAN,24,21.34821,512.35704
100473,,DOLE PINEAPPLE CHUNKS 6/3.06KG,CAN,3,185.17833,555.53499
100476,,DOLE PINEAPPLE TIDBITS 24x432G,CAN,5,16.36607,81.83035
100478,,DOLE PINEAPPLE CRUSHED 24/567G,CAN,49,40.27641,"1,973.54"
100479,,DOLE TF COCKTAIL MORE CHERRIES 6/3.06KG,CAN,29,175.50149,"5,089.54"
100484,,RAM WHOLE KERNEL CORN THAILAND 24/410G,CAN,69,24.54125,"1,693.35"
100485,,RAM YOUNG CORN THAILAND 24/410G,CAN,24,42.16046,"1,011.85"
100486,,RAM COOKED DRY PEAS 100/155G,CAN,2,9.26843,18.53686
100487,,RAM GREEN PEAS 48/225G,CAN,96,15.95997,"1,532.16"
100488,,RAM GREEN PEAS 24/450G,CAN,17,23.27534,395.68078
100489,,SEVILLA DRY PEAS 100/155G,CAN,1,8.68114,8.68114
100490,,SHINEMASTER FLOOR WAX RED 72/90G,PCS,208,11.29681,"2,349.74"
100491,,SHINEMASTER DYE WAX RED 72/90G,PCS,129,11.6714,"1,505.61"
100492,,SHINEMASTER DYE WAX RED 36/225G,PCS,-1,24.71024,-24.71024
100494,,SHINEMASTER FLOOR WAX COLORLESS 72/90G,PCS,14,10.84348,151.80872
100495,,SHINEMASTER FLOOR WAX NATURAL 72/90G,PCS,103,11.4141,"1,175.65"
100496,,SHINEMASTER FLOOR WAX RED 36/180G,PCS,1,22.67875,22.67875
100497,,DOLE PINEAPPLE ORANGE 6/2.9L,CAN,7,89.55357,626.87499
100500,,DOLE PINEAPPLE ORANGE 12/1.36LT,CAN,3,50.23417,150.70251
100507,,DOLE FOUR SEASONS JUICE DRINK 24/240ML,CAN,124,17.56399,"2,177.93"
100510,,TITA ELY KAONG RED 24/8oz,BOT,18,36.99554,665.91972
100511,,TITA ELY KAONG GREEN 24/12oz,BOT,-1,34.13292,-34.13292
100514,,TITA ELY KAONG RED 12/32oz,BOT,17,112.92411,"1,919.71"
100515,,TITA ELY NATA DE COCO GREEN 24/12oz,BOT,14,37.75893,528.62502
100517,,TITA ELY NATA DE COCO RED 12/24oz,BOT,1,69.41071,69.41071
100518,,TITA ELY NATA DE COCO RED 24/12oz,BOT,15,37.75893,566.38395
