ISLAND CITY MALL,,,,,,
POS UNPOSTED SALES,,,,,,
"As of APRIL 27, 2022",,,,,,
Item No.,Variant Code,Description,UOM,Quantity,Cost w/o VAT,Total Cost w/o VAT
101126,,WC 69 WHSKY 700ML,BOT,-7,52.4334,-367.0338
101127,,TOSKA VODKA 700ML,BOT,-6,87.36012,-524.16072
101128,,MC SANGRIA 750ML,BOT,-139,103.09895,-14330.75405
101130,,EL H TEQ SLVR 700ML,BOT,-13,105.77347,-1375.05511
101135,,MM YD ORIG 100ML,PCS,-1304,6.4375,-8394.5
101136,,AXN PST L/KAL 350G,PCS,-85,36.70429,-3119.86465
101138,,MILK M YD SBRRY 100ML,PCS,-1820,6.4375,-11716.25
101144,,AXN DL LME/KAL 190ML,PCS,-33,23.32593,-769.75569
101145,,AX UL LIQ LMN 250ML,PCS,-10,38.60788,-386.0788
101148,,AXN PST LME/KAL 190G,PCS,-252,20.69256,-5214.52512
101184,,PONS MSTR SMTH 115G,PCS,-6,17.64983,-105.89898
101185,,PONS PKSH GLW 115G,PCS,-10,18.70651,-187.0651
101186,,CS HC COL REV 10ML,PCS,-963,4.24107,-4084.15041
101188,,TC SOAP CL MILD 115G,PCS,-11,17.09662,-188.06282
101189,,TC SOAP PK BLSM 80G,PCS,-13,12.55198,-163.17574
101191,,SSK SH COCO HYD 11ML,PCS,-357,3.79464,-1354.68648
101193,,SSK SHP WM M 11ML,PCS,-111,3.79464,-421.20504
101196,,GB SP SUP GRSE 30G,PCS,-1,66.96429,-66.96429
101197,,CTB TWSTR F W/CAP M,PCS,-15,27.22874,-408.4311
101199,,CTB EC W/CAP MED,PCS,-9,15.94573,-143.51157
101204,,TL ALOE VERA CW 20s,PACK,-164,13.61607,-2233.03548
101209,,CTP GRF 37G,PCS,-65,13.67505,-888.87825
101210,,COL TP GRF 74G,PCS,-88,24.13115,-2123.5412
101211,,COL TP GRF 140G,PCS,-89,36.2378,-3225.1642
101229,,CTP TTL 12 PW 150G,PCS,-10,59.63741,-596.3741
101232,,CTP TAS OM 25ML,PCS,-76,12.21872,-928.62272
101233,,CTP TAS OM 145ML,PCS,-54,54.85967,-2962.42218
101241,,TC TALC PINK SFT 100G,PCS,-2,23.57097,-47.14194
101245,,TC TALC CM ORIG 100G,PCS,-23,20.21913,-465.03999
101249,,COL PLAX FM 250ML,BOT,-10,78.465,-784.65
101276,,CMB075 PPOT BLK,PCS,-70,0.61459,-43.0213
101277,,555 MCKRL TS 155G,CAN,-23,8.62206,-198.30738
101279,,555 SRD TS CHLI 155G,CAN,-259,8.51925,-2206.48575
101281,,555 SARD NO 155G,CAN,-115,8.65291,-995.08465
101285,,CT FLKS N V OIL 180G,CAN,-249,23.38132,-5821.94868
101286,,CT FLKS H SPCY 180G,CAN,-1,23.16864,-23.16864
101287,,CT FLKS H SPCY 155G,CAN,-1272,19.06589,-24251.81208
101289,,CT SOLID N OIL 184G,CAN,-34,27.96332,-950.75288
101291,,CT FLKS ADOBO 155G,CAN,-220,15.14411,-3331.7042
101294,,CT FLKS AFRI 155G,CAN,-145,15.26842,-2213.9209
101296,,CT FLKS CLDRTA 155G,CAN,-87,15.08948,-1312.78476
101298,,FRESCA TUNA OIL 175G,CAN,-1119,13.04128,-14593.19232
101299,,FRESCA TUNA HS 175G,CAN,-610,13.0109,-7936.649
101300,,FT MECHADO 175G,CAN,-376,14.66109,-5512.56984
101301,,FT AFRITADA 175G,CAN,-1232,14.66109,-18062.46288
101305,,555 T MCHADO 155G,CAN,-91,14.44802,-1314.76982
101306,,555 T HOT SPCY 155G,CAN,-103,17.74339,-1827.56917
101307,,555 T AFRITADA 155G,CAN,-332,14.50077,-4814.25564
101308,,555 T ADOBO 155G,CAN,-317,14.45394,-4581.89898
101309,,555 T CLDRETA 155G,CAN,-268,14.54256,-3897.40608
101311,,555 T FLKS N OIL 155G,CAN,-180,17.74339,-3193.8102
101313,,FT LCHN PKSIW 175G,CAN,-393,12.60269,-4952.85717
101315,,555 C NORTE 100G,CAN,-19,10.22399,-194.25581
101316,,555 C NORTE 150G,CAN,-37,15.4594,-571.9978
101327,,T CONDOMS SBRY 3s,PCS,-17,4.69094,-79.74598
101329,,T CONDOMS C NAT 3s,PCS,-13,4.69095,-60.98235
101332,,COL SWT TREATS,PACK,-3,85.44643,-256.33929
101342,,LINGZHI 3NI COF 21G,PCS,-61,9.63401,-587.67461
101355,,R COCOA SWTD 150G,PACK,-19,12.77406,-242.70714
101357,,RICH CHOCO P 200G,PACK,-3,20.10119,-60.30357
101362,,STIK O SB W STK 380G,JAR,-128,37.94463,-4856.91264
101363,,STIK O UBE WS 380G,JAR,-200,39.89575,-7979.15
101391,,EL PPA P SUGR 500G,PACK,-82,25.47933,-2089.30506
101426,,NAG BUTTER 10x10G,PACK,-9,10.26184,-92.35656
101427,,NAG BUTTER 20G,PCS,-340,2.01152,-683.9168
101428,,NAG BUTTER 40G,PCS,-156,3.86918,-603.59208
101429,,NAG BUTTER 160G,PCS,-50,15.87263,-793.6315
101430,,NAG ADOBO 20G,PCS,-360,1.81643,-653.9148
101431,,NAG ADOBO 40G,PCS,-151,3.90711,-589.97361
101432,,NAG ADOBO 80G,PCS,-56,7.72976,-432.86656
101433,,NAG ADOBO 160G,PACK,-60,15.46371,-927.8226
101434,,NAG BBQ 10/10G,PACK,-27,11.03286,-297.88722
101435,,NAG BBQ 10/20G,PACK,-27,19.70898,-532.14246
101436,,NAG BBQ 80G,PCS,-120,7.73784,-928.5408
101437,,NAG BBQ 160G,PCS,-3,15.5043,-46.5129
101438,,NAG GARLIC 10/10G,PACK,-15,10.72955,-160.94325
101439,,NAG GARLIC 10/20G,PACK,-6,19.8479,-119.0874
101440,,NAG GARLIC 40G,PACK,-202,3.88326,-784.41852
101441,,NAG GARLIC 160G,PCS,-55,15.43192,-848.7556
101443,,NAGARAYA HS 80G,PCS,-120,7.6957,-923.484
101444,,NAGARAYA HS 160G,PCS,-56,15.80239,-884.93384
101448,,CRM CRN STRH 400G,BOX,-77,23.14651,-1782.28127
101449,,CRM CRN STRH 1KL,BOX,-38,47.93912,-1821.68656
101458,,CDO BEEF LOAF 100G,CAN,-24,7.71931,-185.26344
101459,,CDO BEEF LOAF 150G,CAN,-129,11.14744,-1438.01976
101465,,CDO K NORTE 100G,CAN,-73,9.98062,-728.58526
101466,,CDO KN GSADO 150G,CAN,-203,15.18716,-3082.99348
101467,,CDO K NORTE 175G,CAN,-29,19.64807,-569.79403
101468,,CDO KN GSADO 260G,CAN,-28,26.99367,-755.82276
101472,,CDO NDC WHT 12oz,BOT,-20,23.99667,-479.9334
101473,,CDO NDC RED 340G,BOT,-48,23.77764,-1141.32672
101474,,CDO NDC GRN 12oz,BOT,-42,25.15067,-1056.32814
101475,,CDO KAONG GRN 12oz,BOT,-9,30.96105,-278.64945
101476,,CDO KAONG GRN 24oz,BOT,-5,55.25058,-276.2529
101477,,CDO KAONG RED 12oz,BOT,-13,33.30338,-432.94394
101478,,CDO KAONG RED 24oz,BOT,-8,58.599,-468.792
101480,,CK CHOCO COIN 20s,PACK,-140,14.89263,-2084.9682
101481,,CK CHOC COINS 75s,CANN,-23,56.88491,-1308.35293
101484,,CLITOS CHC STK B 100s,JAR,-5,76.5402,-382.701
101486,,K TEDDY CHOC CKIES 20s,PACK,-114,14.89264,-1697.76096
101488,,CHOYO WS CHO 380G,JAR,-121,38.19291,-4621.34211
101489,,CHOYO WS CHO 850G,JAR,-82,73.59801,-6035.03682
101491,,YOKI2X WS UBE 480G,JAR,-4,43.83824,-175.35296
101492,,YOKI WS RMLK 480G,JAR,-22,44.1666,-971.6652
101493,,FP SHRMP CRCKR 80G,PACK,-2,8.25726,-16.51452
101496,,FP SQD FLKS CR 80G,PACK,-1,8.59612,-8.59612
101499,,FP ONN N GRLC 80G,PACK,-35,8.47312,-296.5592
101502,,FP LBSTR CRCKR 80G,PACK,-83,8.18202,-679.10766
101511,,HAIR BLCKN SHP CA,PCS,-777,4.99627,-3882.10179
101512,,CC SU BETA CAR 10G,PCS,-19,11.24704,-213.69376
101513,,C CHUN SU PINK 10G,PCS,-14,11.4831,-160.7634
101514,,C CHUN SU BLUE 10G,PCS,-14,7.31545,-102.4163
101523,,CHIPS DEL MINI 130G,PACK,-32,23.85609,-763.39488
101524,,CHIPS DEL STRP 175G,PACK,-47,29.064,-1366.008
101525,,CHIPS DL PNUT 40G,PCS,-66,5.11183,-337.38078
101529,,WASHNGTN RICE 2KG,PACK,-20,0,0
101539,,H FEST LNDRY WHT,PCS,-10,3.26438,-32.6438
101540,,SG PAPAYA WS 130G,PCS,-4,33.03571,-132.14284
101542,,CF KAONG RED 8oz,JAR,-7,"47,366.21",-331563.4368
101544,,CF KAONG RED 12oz,JAR,-21,"1,194.00",-25074.01302
101545,,CF KAONG WHITE 12oz,JAR,-4,26.65457,-106.61828
101546,,CF KAONG GREEN 12oz,JAR,-12,27.20512,-326.46144
101547,,CF NDC GREEN 8oz,JAR,-25,17.58554,-439.6385
101548,,CF NDC WHITE 8oz,BOT,-3,16.3784,-49.1352
101549,,CF NDC RED 12oz,JAR,-30,21.154,-634.62
101550,,CF NDC WHITE 12oz,JAR,-5,22.70261,-113.51305
101551,,CF NDC GREEN 12oz,JAR,-39,21.45219,-836.63541
101554,,NEL B CATSUP 1GAL,GAL,-2,63.95185,-127.9037
101620,,GIL LONDON BRIDGE,BOX,-64,14.45417,-925.06688
101622,,JBEE PNT BUTTER 9oz,JAR,-2,42.84851,-85.69702
101623,,BESTLY P BTR 260G,BOT,-1,41.58667,-41.58667
101628,,GG TORT BBQ 25G,PACK,-416,3.49751,-1454.96416
101629,,GG TOR CHEESE 25G,PCS,-337,3.50406,-1180.86822
101630,,GG TOR BBQ 100G,PCS,-2,13.25588,-26.51176
101631,,GG TOR CHEESE 100G,PCS,-53,13.23114,-701.25042
101632,,GG TOR CHEESE 160G,PCS,-32,19.47754,-623.28128
101633,,GG TOR BBQ 160G,PCS,-60,19.45769,-1167.4614
101634,,GG TOR CHILI 25G,PCS,-2,3.50384,-7.00768
101636,,GG TOR CHILI 160G,PACK,-35,19.50246,-682.5861
101650,,TIGER KATOL,BOX,-693,8.43781,-5847.40233
101653,,ZONROX B ORIG 100ML,BOT,-715,5.19887,-3717.19205
101654,,ZONROX ORIG 250ML,BOT,-868,8.49183,-7370.90844
101655,,ZONROX B ORIG 1L,BOT,-388,21.08606,-8181.39128
101656,,ZONROX B ORIG 1GAL,GAL,-41,82.20913,-3370.57433
101657,,ZONROX FRSH 100ML,BOT,-106,5.24639,-556.11734
101658,,ZONRX B FRSH 250ML,BOT,-388,9.13646,-3544.94648
101659,,ZONRX B FRSH 500ML,BOT,-267,14.27959,-3812.65053
101660,,ZONRX B FRESH 1L,BOT,-95,22.61193,-2148.13335
101662,,ZONRX B LEMN 100ML,BOT,-624,5.64172,-3520.43328
101663,,ZONRX B LEMN 250ML,BOT,-721,8.99265,-6483.70065
101664,,ZONRX B LEMN 500ML,BOT,-253,14.19432,-3591.16296
101665,,ZONROX B LEMON 1L,BOT,-404,22.87996,-9243.50384
101666,,ZONRX B LEMN HGAL,½GAL,-31,47.97349,-1487.17819
101667,,ZONRX B LEMN 1GAL,GAL,-5,82.39545,-411.97725
101668,,ZONRX FLORL 100ML,BOT,-234,5.66111,-1324.69974
101669,,ZONRX FLORL 250ML,BOT,-381,9.06947,-3455.46807
101670,,ZONRX FLORL 500ML,BOT,-215,14.12701,-3037.30715
101671,,ZONROX FLORAL 1L,BOT,-88,22.26296,-1959.14048
101689,,YTC TONGOG 6s,PACK,-186,26.64377,-4955.74122
101700,,FIESTA BEEF LF 215G,CAN,-402,17.00419,-6835.68438
101704,,VEN ODONG 12s,PACK,-7,12.97395,-90.81765
101705,,EL SEN ODONG 12s,PACK,-5,11.8818,-59.409
101715,,EOC ORANGE 350G,PACK,-43,70.31252,-3023.43836
101746,,UC AD PU MED 10s,PACK,-4,186.60714,-746.42856
